"airlineid","airlinename","alias","countryid"
"767","Arctic Circle Air Service","","16"
"768","Aviation Charter Services","","16"
"769","Aerovias Castillo","","111"
"770","Aero Club De Portugal","","95"
"771","Air Care Alliance","","16"
"772","Aero Continente Dominicana","","107"
"773","Air Toronto","","4"
"774","Aquila Air","","16"
"775","Air Consul","","60"
"776","Allcanada Express","","4"
"777","ATS Private Company","","191"
"778","Air Corridor","","52"
"779","Air Central","","156"
"780","Air Cruzal","","48"
"781","Aerotransportes Corporativos","","111"
"782","Air Creebec","","4"
"783","Aero Charter and Transport","","16"
"784","Air Tenglong","","214"
"785","Aerlineas Centauro","","111"
"786","Aerocuahonte","","111"
"787","Air Chathams","","132"
"788","Air Marshall Islands","","151"
"789","Australian Customs Service","","125"
"790","Air One Cityliner","","89"
"791","Air Transport","","16"
"792","Access Air","","16"
"793","Aerocheyenne","","111"
"794","Air Algerie","","5"
"795","Aerovias DAP","","161"
"796","Air Alpha","","16"
"797","Air Niagara Express","","4"
"798","Aviation Defense Service","","86"
"799","Air Service Groningen","","24"
"800","Adam Air","","205"
"801","Astar Air Cargo","","16"
"802","Archer Aviation","","19"
"803","Aeromedica","","111"
"804","Aerodin","","111"
"805","Antinea Airlines","","5"
"806","Air Djibouti","","229"
"807","Air Dolomiti","","89"
"808","Aero Modelo","","111"
"809","Aerolineas Del Sur","","161"
"810","Aerodinamica de Monterrey","","111"
"811","Aeroservicios Dinamicos","","111"
"812","Aerotaxis Dosmil","","111"
"813","Aerodespachos De El Salvador","","115"
"814","Aeroynamics Malaga","","60"
"815","Aerodynamics Incorporated","","16"
"816","Aeroflot-Don","","190"
"817","Air Madrid","","60"
"818","Airways Flight Training","","19"
"819","Aeronaves Del Noreste","","111"
"820","Addis Air Cargo Services","","69"
"821","Aero Algarve","","95"
"822","Aex Air","","16"
"823","Aero Davinci International","","111"
"824","Aero Dynamics","","16"
"825","Aeroservicios Ecuatorianos","","162"
"826","Aero-Pyrenees","","86"
"827","Air Transport","","105"
"828","Aero Airlines","","17"
"829","Aero Ejecutivo De Baja California","","111"
"830","Air City","","15"
"831","Aero Ejecutivos RCG","","111"
"832","Aeronautica Castellana","","60"
"833","Aerolineas Comerciales","","111"
"834","Aerolineas Nacionales Del Ecuador","","162"
"835","Air Este","","60"
"836","Air Mana","","86"
"837","Aer Lingus","","25"
"838","Aeroservicios Ejecutivos Corporativos","","111"
"839","Alpi Eagles","","89"
"840","Arrendoora y Transportadora Aerea","","111"
"841","Eliossola","","89"
"842","Shenzhen Donghai Airlines","","214"
"843","Aeronaves Del Noroeste","","60"
"844","Airailes","","86"
"845","Aero Ermes","","111"
"846","Aero Transportes Empresariales","","111"
"847","Epps Air Service","","16"
"848","Aero Empresarial","","111"
"849","Air S","","294"
"850","Avianergo","","190"
"851","Aero Servicios Regiomontanos","","111"
"852","Aerosec","","161"
"853","Aeromaan","","111"
"854","Aerosaba","","111"
